RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
294937,UN43U8000FPXPA43P,SMART TV 4K UHD,469266100013,107118 ,234.74 ,2347.4,3599,264,SAMSUNG
294938,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,340,SAMSUNG
294938,UN43U8000FPXPA43P,SMART TV 4K UHD,469266100013,107118 ,234.74 ,2347.4,3599,36,SAMSUNG
294938,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,43,SAMSUNG
294942,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,84,SAMSUNG
294942,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,50,SAMSUNG
294942,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,90,SAMSUNG
294942,UN85U8000FPXPA85P,SMART TV 4K UHD,469266800012,111020 ,877.89 ,8778.9,13199,5,SAMSUNG
294946,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,5,SAMSUNG
294946,QN65Q7FAAPXPA65P,QLED TV Q7F 4K UHD,469267100012,10920A ,527.37 ,5273.7,7999,120,SAMSUNG
294946,QN75Q7FAAPXPAUHD,4K FLAT QLED SMART 75IN TIZEN,469595100012,110032 ,741.05 ,7410.5,11199,20,SAMSUNG
294946,UN85U8000FPXPA85P,SMART TV 4K UHD,469266800012,111020 ,877.89 ,8778.9,13199,20,SAMSUNG
294946,QN85Q7FAAPXPAUHD,4K FLAT QLED SMART 85IN TIZEN,469595000015,111026 ,1029.47 ,10294.7,15499,10,SAMSUNG
294948,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
294949,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
294950,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
296921,GSYS-48003000W,12IN DUAL HOME STEREO SYSTEM,466616500011,2070C4 ,152.63 ,1526.3,2299,100,GEMINI
296921,GPLT-3601000W,8IN 360 PRTY LIGHT PORTABLE WIREL,466616900019,2140D1 ,117.89 ,1178.9,1799,100,GEMINI
296921,GHK-28004800W,8IN DUAL WOOFER BT LIGHTING PARTY,466617000015,2140D2 ,128.42 ,1284.2,1999,100,GEMINI
296921,GSP-L2200PK2200W,15IN POWERED BLUETOOTH PA SPEA,466617600017,2140D4 ,149.47 ,1494.7,2299,50,GEMINI
297068,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,160,SAMSUNG
297068,UN43U8000FPXPA43P,SMART TV 4K UHD,469266100013,107118 ,234.74 ,2347.4,3599,216,SAMSUNG
297068,QN65Q7FAAPXPA65P,QLED TV Q7F 4K UHD,469267100012,10920A ,527.37 ,5273.7,7999,56,SAMSUNG
297070,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,78,SAMSUNG
297070,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,281,SAMSUNG
297070,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,15,SAMSUNG
297072,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,61,SAMSUNG
297072,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,19,SAMSUNG
297072,UN85U8000FPXPA85P,SMART TV 4K UHD,469266800012,111020 ,877.89 ,8778.9,13199,60,SAMSUNG
297076,UN43U8000FPXPA43P,SMART TV 4K UHD,469266100013,107118 ,234.74 ,2347.4,3599,594,SAMSUNG
297077,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,462,SAMSUNG
297079,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
297084,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
297090,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
297096,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,130,SAMSUNG
297100,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,100,SAMSUNG
297105,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
297109,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
297112,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
