RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
295504,MHCV13STEREO,JET BASS BOOSTER SUBWOOFER 20CMLUC,456065200013,2020AE ,162.11 ,1621.1,2499,100,SONY
295504,SRS-XV500/BCUC2PORTABLE,SPLASH RESISTENT WIRELE,470051600014,203034 ,214.74 ,2147.4,3299,100,SONY
295522,82XM00LMUS15IN,16 GB RAM 512 GB SSD R7 4700U AM,469851100015,4200C6 ,525.26 ,5252.6,7899,200,LENOVO
295522,82QD00HMUS15PL,8 GB RAM 512 GB SSD I51235U INTE,468913000010,4210A6 ,388.42 ,3884.2,5899,200,LENOVO
295522,15-FD0150WM15IN,8 GB RAM 512 GB SSD I5 1135G7,469851500013,4210BD ,420.00 ,4200.0,6299,300,HEWLETT
295522,D0F3W15IN,8 GB RAM 512 GB SSD I3 1235U INTEL,470225400013,4210C8 ,409.47 ,4094.7,6199,300,DELL
296171,43V6C43P,UHD 4K GOOGLE TV SMART,468956000015,107115 ,162.11 ,1621.1,2499,66,TCL
296171,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,229,TCL
296171,S55HSOUND,BAR 2 1CH,468925600017,20712C ,65.26 ,652.6,999,100,TCL
296171,TP300KPARTY,BOX TP300K,469227400015,214104 ,173.68 ,1736.8,2699,100,TCL
296202,MM000DJI95,MIC MINI TRANSMITTER,469218200013, ,36.05 ,360.5,599,10,DJI
296202,DJINEOCOMBO,DJI AVATA NEO DRONE COMBO,468144900011, ,291.39 ,2913.9,4399,7,DJI
296202,MM004DJI36,DJI MINI 4K FLY MORE COMBO,469091500019, ,407.69 ,4076.9,6199,10,DJI
296202,MM000DJI98,DJI MIC MINI 2 TX 1 RX CHARGING CASE,469091200018, ,116.97 ,1169.7,1799,5,DJI
296202,MM000DJI96,DJI MIC MINI TRANSMITTER INFINITY BLACK,469932600014, ,36.05 ,360.5,599,10,DJI
296202,MM003DJI63,DJI MINI 4 PRO FLY MORE COMBO PLUS DJI,469932700011, ,980.53 ,9805.3,14799,2,DJI
296420,43V6C43P,UHD 4K GOOGLE TV SMART,468956000015,107115 ,162.10 ,1621.0,2499,88,TCL
296420,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,166,TCL
296422,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,239,TCL
296422,65P8K-AUHD,4K FLAT QLED ANDROID 65IN GOOGLE TV,468923000017,1091FA ,368.42 ,3684.2,5599,17,TCL
296422,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,20,TCL
296422,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,82,TCL
296422,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,7,TCL
296424,43V6C43P,UHD 4K GOOGLE TV SMART,468956000015,107115 ,162.10 ,1621.0,2499,213,TCL
296424,65P8K-AUHD,4K FLAT QLED ANDROID 65IN GOOGLE TV,468923000017,1091FA ,368.42 ,3684.2,5599,133,TCL
296424,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,23,TCL
296424,98P8K-AUHD,4K FLAT QLED SMART 98P GOOGLE TV BLA,469187500015,11101E ,881.05 ,8810.5,13299,10,TCL
296425,43V6C43P,UHD 4K GOOGLE TV SMART,468956000015,107115 ,162.10 ,1621.0,2499,36,TCL
296425,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
296427,43V6C43P,UHD 4K GOOGLE TV SMART,468956000015,107115 ,162.10 ,1621.0,2499,36,TCL
296427,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
296429,43V6C43P,UHD 4K GOOGLE TV SMART,468956000015,107115 ,162.10 ,1621.0,2499,215,TCL
296429,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,218,TCL
296523,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,610,TCL
296523,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, 106150 ,157.89 ,1578.9,2399,174,TCL
296523,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,610,TCL
296523,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,174,TCL
296527,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,929,TCL
297156,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,6,TCL
297156,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
297156,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,27,TCL
297158,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,27,TCL
297158,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,147,TCL
297158,75C6K-AUHD,4K FLAT MINI LED ANDROID 75IN GOOGLE,468923800013,11001C ,547.37 ,5473.7,8299,10,TCL
297158,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,8,TCL
297158,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,48,TCL
297159,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,83,TCL
297159,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,34,TCL
297159,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,30,TCL
297159,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,524,TCL
297161,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,76,TCL
297161,65A300PRO-ATCL,ART TV 65IN GOOGLE SMART,468923300018,1091FC ,673.68 ,6736.8,10199,2,TCL
297161,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,46,TCL
297161,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,5,TCL
297161,85C6K-AUHD,4K FLAT MINI LED ANDROID 98IN GOOGLE,468924600018,111015 ,712.63 ,7126.3,10699,5,TCL
297161,98P8K-AUHD,4K FLAT QLED SMART 98P GOOGLE TV BLA,469187500015,11101E ,881.05 ,8810.5,13299,44,TCL
297161,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,97,TCL
297164,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,300,TCL
297164,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,48,TCL
