UN50U8000FPXPA," $2,853 ",," $4,279 ",,25%
UN43U8000FPXPA," $2,347 ",," $3,521 ",,25%
QN65Q7FAAPXPA," $5,274 ",," $7,911 ",,25%
UN55U8000FPXPA," $3,547 ",," $5,321 ",,25%
UN65U8000FPXPA," $4,432 ",," $6,647 ",,25%
UN75U8000FPXPA," $5,968 ",," $8,953 ",,25%
UN85U8000FPXPA," $8,779 ",," $13,168 ",,25%
32S5K-A, $979 ,," $1,468 ",,25%
V55V6C-A," $2,053 ",," $3,079 ",,25%
50S5KA," $1,579 ",," $2,368 ",,25%
75V6C-A," $3,884 ",," $5,826 ",,25%
75C6K-A," $5,474 ",," $8,211 ",,25%
V85P8K-A," $6,705 ",," $10,058 ",,25%
43S5K-A," $1,432 ",," $2,147 ",,25%
65A300PRO-A," $6,737 ",," $10,105 ",,25%
65P7K," $3,474 ",," $5,211 ",,25%
85C6K-A," $7,126 ",," $10,689 ",,25%
98P8K-A," $8,811 ",," $13,216 ",,25%
55UA7500PSAAWP," $3,368 ",," $5,053 ",,25%
OLED65C5PSA, $522 ,," $15,221 ",,96%
65NANO80ASAAWP," $5,926 ",," $8,889 ",,25%
65UA7500PSAAWP," $4,484 ",," $6,726 ",,25%
75NANO80ASA," $8,011 ",," $12,016 ",,25%
65C6K-A," $3,884 ",," $5,826 ",,25%
98C6K-A, 091.58  ,," $10,916 ",,99%
S55H, $653 ,, $979 ,,25%
Q65K," $1,368 ",," $2,053 ",,25%
0,  ,,,,
