RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
297068,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,160,SAMSUNG
297068,UN43U8000FPXPA43P,SMART TV 4K UHD,469266100013,107118 ,234.74 ,2347.4,3599,216,SAMSUNG
297068,QN65Q7FAAPXPA65P,QLED TV Q7F 4K UHD,469267100012,10920A ,527.37 ,5273.7,7999,56,SAMSUNG
297070,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,78,SAMSUNG
297070,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,281,SAMSUNG
297070,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,15,SAMSUNG
297072,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,61,SAMSUNG
297072,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,19,SAMSUNG
297072,UN85U8000FPXPA85P,SMART TV 4K UHD,469266800012,111020 ,877.89 ,8778.9,13199,60,SAMSUNG
297076,UN43U8000FPXPA43P,SMART TV 4K UHD,469266100013,107118 ,234.74 ,2347.4,3599,594,SAMSUNG
297077,UN50U8000FPXPA50P,SMART TV 4K UHD,469266200010,10613C ,285.26 ,2852.6,4299,462,SAMSUNG
297079,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
297084,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
297090,UN55U8000FPXPA55P,SMART TV 4K UHD,469266300017,108205 ,354.74 ,3547.4,5399,408,SAMSUNG
297096,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,130,SAMSUNG
297100,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,100,SAMSUNG
297102,UN75U8000FPXPA75P,SMART TV 4K UHD,469266600018,109207 ,596.84 ,5968.4,8999,130,SAMSUNG
297104,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
297105,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
297109,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
297112,UN65U8000FPXPA65P,SMART TV 4K UHD,469266400014,109204 ,443.16 ,4431.6,6699,196,SAMSUNG
297156,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,6,TCL
