RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
292986,QAT00007,CONTROLLER FOR XBOX BLACK 464,310500016,KD603B ,51.47 ,514.7,799,50,NINTENDO
292986,HADSKABAH,NINTENDO SWITCH NEON BLUE AND NEON RED 463,799600019,KB2011 ,301.05 ,3010.5,4599,10,XBOX
292986,EP200692,XBOX SERIES X 1TB ALL DIGITAL CONSOLE 469,718800010,KB300E ,545.26 ,5452.6,8199,5,MICROSOFT
292986,RRS0001,SERIES S 512 GB BLANCO 467,566500014,KB300A ,351.58 ,3515.8,5299,15,MICROSOFT
292986,HADSKABAHNINTENDO,SWITCH NEON BLUE AND NEON RED,463799600019,KB2011 ,301.05 ,3010.5,4599,10,LENOVO
292986,RRS-0001SERIES,S 512 GB BLANCO,467566500014,KB300A ,351.58 ,3515.8,5299,5,MSI
292986,EP2-00692XBOX,SERIES X 1TB ALL DIGITAL CONSOLE,469718800010,KB300E ,545.26 ,5452.6,8199,12,SONY
292986,QAT00006CONTROLLER,FOR XBOX BLACK,464310500016,KD603B ,51.47 ,514.7,799,8,SONY
293511,83LK0001USNVIDIA,RTX 2070 8 GB 512 GB SSD 15P,469848100011,KA107F ,581.05 ,5810.5,8799,20,SONY
293511,B13VF-2829USNVIDIA,RTX 4060 8GB 16 GB 512 GB SS,469848400012,KA1081 ,726.32 ,7263.2,10899,8,SONY
293689,3005838PS5,CHARGING STATION LAT,458564900012,KD508B ,22.63 ,226.3,399,8,SONY
