RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
279137,QN65Q60DAPXPA65P,QLED SMART TV Q65 4K,466017000011,1091B9 ,612.63 ,6126.3,9199,52,SAMSUNG
279137,UN75DU7000PXPA75IN,SMART TVCRYSTAL 4K LEDTYSEN,466017100018,110008 ,677.89 ,6778.9,10199,50,SAMSUNG
279137,UN85DU7000PXPA85IN,SMART TVCRYSTAL 4K LEDTYSEN,466017500016,111007 ,1034.74 ,10347.4,15599,12,SAMSUNG
279138,QN65Q60DAPXPA65P,QLED SMART TV Q65 4K,466017000011,1091B9 ,612.63 ,6126.3,9199,51,SAMSUNG
279138,UN75DU7000PXPA75IN,SMART TVCRYSTAL 4K LEDTYSEN,466017100018,110008 ,677.89 ,6778.9,10199,50,SAMSUNG
279138,UN85DU7000PXPA85IN,SMART TVCRYSTAL 4K LEDTYSEN,466017500016,111007 ,1034.74 ,10347.4,15599,12,SAMSUNG
282012,MT55D610055IN,4K UD SMART FRAMELESS OFFICIAL AN,462964200016,1081C7 ,253.26 ,2532.6,3799,423,MASTERTECH
282016,MT43D610043IN,FHD SMART FRAMELESS OFFICIAL ANDR,462963800019,1070F6 ,135.87 ,1358.7,2099,188,MASTERTECH
282016,MT55D610055IN,4K UD SMART FRAMELESS OFFICIAL AN,462964200016,1081C7 ,253.26 ,2532.6,3799,27,MASTERTECH
282016,MT65D610065IN,4K UD SMART FRAMELESS OFFICIAL AN,462964300013,10918F ,336.96 ,3369.6,5099,100,MASTERTECH
282017,MT43D610043IN,FHD SMART FRAMELESS OFFICIAL ANDR,462963800019,1070F6 ,135.87 ,1358.7,2099,712,MASTERTECH
282023,MT50D610050IN,4K UD SMART FRAMELESS OFFICIAL AN,462964000012,1081C6 ,208.70 ,2087.0,3199,450,MASTERTECH
282535,QN65Q60DAPXPA65P,QLED SMART TV Q65 4K,466017000011,1091B9 ,612.63 ,6126.3,9199,14,SAMSUNG
282535,UN75DU7000PXPA75IN,SMART TVCRYSTAL 4K LEDTYSEN,466017100018,110008 ,677.89 ,6778.9,10199,59,SAMSUNG
282535,UN85DU7000PXPA85IN,SMART TVCRYSTAL 4K LEDTYSEN,466017500016,111007 ,1034.74 ,10347.4,15599,50,SAMSUNG
282686,CK99MEGA,AUDIO SYSTEM DJ MACHINE 5000 WATTS,430826600007,20301D ,594.74 ,5947.4,8999,102,LG
283642,CK99MEGA,AUDIO SYSTEM DJ MACHINE 5000 WATTS,430826600007,20301D ,594.74 ,5947.4,8999,78,LG
283642,CL88MEGA,SYSTEM 2900W DJ APP PARTY LINK KARAOKE,455635100012,203024 ,329.47 ,3294.7,4999,30,LG
283650,CM4360MINICOMPONENTE,2600W PMPO,416632800008,202070 ,83.16 ,831.6,1299,100,LG
283650,CJ45LG,MINI HIGHFI SYSTEM 720W RM,431682600002,20208B ,150.53 ,1505.3,2299,60,LG
285036,UN55CU7090PXPA55IN,4K UHD SMART TV CU7090 SERIE,466825700011,1081E7 ,347.37 ,3473.7,5299,250,SAMSUNG
285037,UN55CU7090PXPA55IN,4K UHD SMART TV CU7090 SERIE,466825700011,1081E7 ,347.37 ,3473.7,5299,250,SAMSUNG
286413,SCAKX110PNKAUDIO,MINI SYSTEM,430757000006,202086 ,82.11 ,821.1,1299,400,PANASONIC
287918,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,101.28 ,1012.8,1599,121,TCL
287918,75C655A75P,QLED 4K GOOGLE TV SMART,465336000016,110002 ,500.83 ,5008.3,7599,80,TCL
287918,85C655A85P,QLED 4K GOOGLE TV SMART,465336800012,111005 ,711.16 ,7111.6,10699,63,TCL
287987,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,99.67 ,996.7,1499,379,TCL
287987,43P635A43,LED SMART TV 4K GOOGLE TV,461732600010,1070EB ,166.48 ,1664.8,2499,114,TCL
288010,43P635A43,LED SMART TV 4K GOOGLE TV,461732600010,1070EB ,166.48 ,1664.8,2499,888,TCL
288011,43P635A43,LED SMART TV 4K GOOGLE TV,461732600010,1070EB ,166.48 ,1664.8,2499,163,TCL
288011,65C655A65P,QLED 4K GOOGLE TV SMART,465334400016,1091A8 ,350.48 ,3504.8,5299,150,TCL
288011,98C655A98IN,QLED 4K ANDROID TV SMART ATSC,466669100015,11100A ,1093.22 ,10932.2,16399,20,TCL
288055,1000046529SONY,PS5 PRO,468582600016,KB101F ,768.42 ,7684.2,11599,127,SONY
288168,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,107.37 ,1073.7,1699,133,TCL
288168,43P635A43,LED SMART TV 4K GOOGLE TV,461732600010,1070EB ,188.42 ,1884.2,2899,193,TCL
288168,75C655A75P,QLED 4K GOOGLE TV SMART,465336000016,110002 ,498.95 ,4989.5,7499,26,TCL
288168,98C655A98IN,QLED 4K ANDROID TV SMART ATSC,466669100015,11100A ,1156.84 ,11568.4,17399,30,TCL
288168,S643W3,1 CHNL SOUNDBAR WITH WIRELESS SUBWOOFER,462733100011,2070A7 ,77.89 ,778.9,1199,205,TCL
288404,55UT7300PSAQ55IN,4K UHD SMAT LED TV,466752500012,1081E3 ,342.11 ,3421.1,5199,260,LG
288404,75NANO77SRANANOCEL,SMART 4K 75P,462751500015,10919A ,790.53 ,7905.3,11899,26,LG
288404,65QNED80TSA65P,QNED 4K SMART TV,468043100017,1091EB ,763.16 ,7631.6,11499,5,LG
288404,86UT8050PSBUHD,4K FLAT LED SMART 85I,468062200019,1091EE ,1051.58 ,10515.8,15799,9,LG
288404,SQC1WIRELESS,SOUNDBAR 160W,462416500015,2070B1 ,110.53 ,1105.3,1699,20,LG
288404,XL5SDPANLLK200W,XBOOM BT WIRELESS PART SPEAKER,463721200010,2070B9 ,247.37 ,2473.7,3799,30,LG
288404,S40TDPANLLK300W,2 1 CH DOLBY DIGITAL WIRELESS S,465992000016,2070BE ,134.74 ,1347.4,2099,20,LG
288404,XG2TBKCPANLLK5W,10HRSBAT IP67 GO PORTABLE BT SP,465992100013,2070BF ,34.74 ,347.4,599,50,LG
288404,XG8TDPANLLK60W,15HRS BAT IP67 PORTABLE BT SPEAK,465992200010,2070C0 ,205.26 ,2052.6,3099,10,LG
288406,CJ44DPANLLK480,WATT BLUETOOTH MINI SYSTEM,423897400003,20206A ,140.00 ,1400.0,2099,40,LG
288406,CM4360MINICOMPONENTE,2600W PMPO,416632800008,202070 ,83.16 ,831.6,1299,325,LG
288406,OK99MINI,SESS OK99 LG,441017600003,202098 ,389.47 ,3894.7,5899,30,LG
288406,CL88MEGA,SYSTEM 2900W DJ APP PARTY LINK KARAOKE,455635100012,203024 ,342.11 ,3421.1,5199,50,LG
288406,RNC5.DPANLLKAUDIO,SYSTEM WITH BASS BLAST,462417800015,20302D ,147.37 ,1473.7,2299,70,LG
288715,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,95.79 ,957.9,1499,72,TCL
288715,43P635A43,LED SMART TV 4K GOOGLE TV,461732600010,1070EB ,160.00 ,1600.0,2399,139,TCL
288715,75C655A75P,QLED 4K GOOGLE TV SMART,465336000016,110002 ,473.68 ,4736.8,7199,74,TCL
288715,98C655A98IN,QLED 4K ANDROID TV SMART ATSC,466669100015,11100A ,1051.58 ,10515.8,15799,15,TCL
