RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
293445,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,89.47 ,894.7,1399,200,TCL
293445,50V6C-AUHD,4K FLAT LED ANDROID 50IN GOOGLE TV B,468922000018,107110 ,209.47 ,2094.7,3199,192,TCL
293445,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,105,TCL
293445,65C755A65P,MINI LED 4K GOOGLE TV SMART,465334200012,1091B2 ,388.42 ,3884.2,5899,2,TCL
293445,65P8K-AUHD,4K FLAT QLED ANDROID 65IN GOOGLE TV,468923000017,1091FA ,368.42 ,3684.2,5599,70,TCL
293445,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,28,TCL
293447,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,89.47 ,894.7,1399,999,TCL
293447,50V6C-AUHD,4K FLAT LED ANDROID 50IN GOOGLE TV B,468922000018,107110 ,209.47 ,2094.7,3199,20,TCL
293447,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,158,TCL
293447,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,16,TCL
293449,50V6C-AUHD,4K FLAT LED ANDROID 50IN GOOGLE TV B,468922000018,107110 ,209.47 ,2094.7,3199,40,TCL
293449,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,205,TCL
293449,85C655A85P,QLED 4K GOOGLE TV SMART,465336800012,111005 ,631.58 ,6315.8,9499,20,TCL
293449,98C6K-AUHD,4K FLAT MINI LED ANDROID 98IN GOOGLE,468924700015,111016 ,1091.58 ,10915.8,16399,5,TCL
293449,98P8K-AUHD,4K FLAT QLED SMART 98P GOOGLE TV BLA,469187500015,11101E ,881.05 ,8810.5,13299,22,TCL
293452,32S5400AFA32IN,FHD ANDROID TV SMART,462812400018,1060F9 ,89.47 ,894.7,1399,65,TCL
293452,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
293453,50V6C-AUHD,4K FLAT LED ANDROID 50IN GOOGLE TV B,468922000018,107110 ,209.47 ,2094.7,3199,197,TCL
293453,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,84,TCL
293453,75P8K-AUHD,4K FLAT QLED ANDROID 75IN GOOGLE TV,468923600019,11001B ,494.74 ,4947.4,7499,6,TCL
293453,115C7K-AUHD,4K FLAT MINI LED ANDROID 115P GOOGL,468925400013,111017 ,4987.37 ,49873.7,74899,4,TCL
