Courts_Code,Model,Brand,Tot_QTY,EST_Landed_TTD,EST_Price_w_Mrgn25
30302F ,WH46DBH500EVA3BESPOKE,SAMSUNG,39,12789.5,19199
109222 ,65QNED70ASAAWPUHD,LG,60,5842.1,8799
109223 ,65UA8000PSBAWPUHD,LG,200,4284.2,6499
110039 ,75UA8000PSBAWPUHD,LG,44,6242.1,9399
10612F ,32S5K-A2K,TCL,401,978.9,1499
1081FC ,V55V6C-AUHD,TCL,953,2052.6,3099
20712C ,S55HSOUND,TCL,210,652.6,999
20712D ,Q65KSOUND,TCL,32,1368.4,2099
 ,50S5KA,TCL,690,1578.9,2399
107112 ,43S5K-A2K,TCL,386,1431.6,2199
106155 ,50UA8000PSBAWPUHD,LG,300,2884.2,4399
111024 ,86NANO80ASAUHD,LG,30,12810.5,19299
10921A ,65P7K65P,TCL,3,3473.7,5299
10821D ,55UA8000PSBAWPUHD,LG,200,3200.0,4799
110038 ,75QNED70ASCAWPUHD,LG,63,7926.3,11899
